usuario,deck,skill,ndmax,zerotg,zephra,bryan,xenoblur,yamiglen,rax
5520,Fish Armor,Gemelos Unidos,2023-06-10,0,1,0,0,0,0
4790,Odd-Eyes,Péndulo Rabioso,2023-06-09,0,0,1,0,0,0
5567,Speedroid,Aceleración ala Transparente,2023-06-09,0,0,1,0,0,0
8965,Elemental Heros,Alianza de Héroes,2023-06-09,0,0,1,0,0,0
2009,Orcust,Cambios,2023-06-09,0,0,1,0,0,0
5470,Orcust,Robo del Destino,2023-06-09,0,0,1,0,0,0
6365,Orcust,Cambios,2023-06-10,0,0,1,0,0,0
6558,Vendread,Maestro de Rituales II,2023-06-10,1,0,1,1,0,1
3655,Raidraptor,Alzamiento de los Ráptors,2023-06-10,1,0,1,0,0,0
7410,Gandora,Luchar con Decisión,2023-06-10,1,0,1,1,0,0
7592,Odd-Eyes,Péndulo Rabioso,2023-06-10,0,0,1,0,1,0
8699,Rokket,Borre Explosivo,2023-06-10,0,0,0,0,1,0
1286,S-Force,Robar sentido Oscuridad,2023-06-10,0,0,0,1,0,0
4358,Speedroid,Aceleración ala Transparente,2023-06-10,0,0,0,1,0,0
4097,Odd-Eyes,Péndulo Rabioso,2023-06-10,0,0,0,1,0,0
2328,Dinos,Listos Aceleración Delta,2023-06-10,1,0,0,0,0,0
3874,Trickstar,Tres Efectos,2023-06-10,1,0,0,0,0,0
7883,Orcust,Tumbas Selladas,2023-06-10,1,0,0,0,0,0
6791,Speedroid,Aceleración ala Transparente,2023-06-11,1,0,0,0,0,0
9441,Odd-Eyes,Péndulo Rabioso,2023-06-11,1,0,0,0,0,0
0274,Elemental Heros,Alianza de Héroes,2023-06-11,1,0,0,0,0,0
9731,Onomat,Cambios,2023-06-11,1,0,0,0,0,0
2945,Orcust,Cambios,2023-06-11,1,0,0,0,0,0
3517,Onomat,Cambios,2023-06-11,1,0,0,0,0,0
8123,Orcust,Cambios,2023-06-11,1,0,0,0,0,0
8367,S-Force,Vinculaciones,2023-06-11,1,0,0,0,0,0
3882,Odd-Eyes,Péndulo Rabioso,2023-06-11,1,0,0,0,0,0
1529,Speedroid,Aceleración ala Transparente,2023-06-11,1,0,0,0,0,0
5294,Chronomaly,Portal de Otra Dimensión,2023-06-11,1,0,1,0,0,0
8981,Orcust,Tumbas Selladas,2023-06-11,0,1,0,0,0,0
8783,Odd-Eyes,Péndulo Rabioso,2023-06-11,0,1,0,0,0,0
7724,Railway,Tren Imparable,2023-06-11,0,1,1,0,0,0
0038,Orcust,Tumbas Selladas,2023-06-11,0,1,0,0,0,0
9078,Orcust,Tumbas Selladas,2023-06-11,0,1,0,0,0,0
2102,Orcust,Cambios,2023-06-11,0,1,1,0,0,0
4048,Odd-Eyes,Péndulo Rabioso,2023-06-11,0,1,0,0,1,0
6777,Odd-Eyes,Péndulo Rabioso,2023-06-11,0,1,0,0,0,0
1382,Starry Knight,Habilidad no asignada,2023-06-11,0,0,1,0,0,0
